Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
AEO92117,Influenza A virus (A/harrier/Israel/531/2011(H5N1)),GenBank,set:f015d8ecdec9ed1ee4ecc8016c561687d21dd2f5,JN600467,,"Shkoda,I., Lapin,K., Davidson,I., Panshin,A.",9/25/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Israel,Israel,,Accipitridae,lung,4/7/2011,,,hemagglutinin [Influenza A virus (A/harrier/Israel/531/2011(H5N1))]
AEO27887,Influenza A virus (A/chicken/Thailand/KU14/2004(H5N1)),GenBank,set:d0c569f968fb2da2d676a595429a3549bdc60f0b,JN634875,,"Lekcharoensuk,P., Wiriyarat,W., Petcharat,N., Lekcharoensuk,C., Auewarakul,P., Richt,J.A.",9/18/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,1,hemagglutinin,Thailand,Thailand,,Gallus gallus,,2004,,,hemagglutinin [Influenza A virus (A/chicken/Thailand/KU14/2004(H5N1))]
AEN79400,Influenza A virus (A/duck/Nepal/DTS22/2010(H5N1)),GenBank,set:760d49c858a35e9828dedce5b4c291dc803ab6b9,JN613379,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Nepal,Nepal,,Anatidae,,2010-02,,,"hemagglutinin, partial [Influenza A virus (A/duck/Nepal/DTS22/2010(H5N1))]"
AEN79401,Influenza A virus (A/duck/Nepal/DTS24/2010(H5N1)),GenBank,set:4a8f0d3de76308eef31df598627aaacd4335af2d,JN613380,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Nepal,Nepal,,Anatidae,,2010-02,,,"hemagglutinin, partial [Influenza A virus (A/duck/Nepal/DTS24/2010(H5N1))]"
AEN79402,Influenza A virus (A/duck/Nepal/PTS58/2010(H5N1)),GenBank,set:c27ebde279bb6753d7ee9b4acdf2a46a3f419d0b,JN613381,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,,hemagglutinin,Nepal,Nepal,,Anatidae,,2010-02,,,"hemagglutinin, partial [Influenza A virus (A/duck/Nepal/PTS58/2010(H5N1))]"
AEN79403,Influenza A virus (A/duck/Nepal/PTS60/2010(H5N1)),GenBank,set:ad1a64372512678d9b408d422ca3df172fec3ab1,JN613382,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,,hemagglutinin,Nepal,Nepal,,Anatidae,,2010-02,,,"hemagglutinin, partial [Influenza A virus (A/duck/Nepal/PTS60/2010(H5N1))]"
AEN79404,Influenza A virus (A/chicken/Nepal/A135/2010(H5N1)),GenBank,set:5c707278caf6ab66cfbc6f72f7b898681db908d8,JN613383,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Nepal,Nepal,,Gallus gallus,,2010-02,,,"hemagglutinin, partial [Influenza A virus (A/chicken/Nepal/A135/2010(H5N1))]"
AEN79405,Influenza A virus (A/chicken/Nepal/A136/2010(H5N1)),GenBank,set:00e93f769a175d05ce42a6d8dfc621546de80a03,JN613384,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Nepal,Nepal,,Gallus gallus,,2010-02,,,"hemagglutinin, partial [Influenza A virus (A/chicken/Nepal/A136/2010(H5N1))]"
AEN79406,Influenza A virus (A/chicken/Nepal/81/2010(H5N1)),GenBank,set:64731cf79eaf94f228ff84a74a6b5fc622bb3b0d,JN613385,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Nepal,Nepal,,Gallus gallus,,2010-03,,,"hemagglutinin, partial [Influenza A virus (A/chicken/Nepal/81/2010(H5N1))]"
AEN79407,Influenza A virus (A/chicken/Nepal/115/2010(H5N1)),GenBank,set:936fb1a7c7a4a44b2c3b82e22ef1d357daa15794,JN613386,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Nepal,Nepal,,Gallus gallus,,2010-03,,,"hemagglutinin, partial [Influenza A virus (A/chicken/Nepal/115/2010(H5N1))]"
AEN79408,Influenza A virus (A/chicken/Nepal/111/2010(H5N1)),GenBank,set:d68db912e492b54e928e3db4dd9ef53a8ebb2785,JN613387,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Nepal,Nepal,,Gallus gallus,,2010-03,,,"hemagglutinin, partial [Influenza A virus (A/chicken/Nepal/111/2010(H5N1))]"
AEN79409,Influenza A virus (A/chicken/Nepal/105/2010(H5N1)),GenBank,set:88ee7b1784da9ff2b3ea4486609b03a7d0f1a1d6,JN613388,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Nepal,Nepal,,Gallus gallus,,2010-03,,,"hemagglutinin, partial [Influenza A virus (A/chicken/Nepal/105/2010(H5N1))]"
AEN79410,Influenza A virus (A/chicken/Nepal/5-1cl/2010(H5N1)),GenBank,set:84c076ddb082d29712cbd7144180b1e38cd69341,JN613389,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Nepal,Nepal,,Gallus gallus,,2010-11,,,hemagglutinin [Influenza A virus (A/chicken/Nepal/5-1cl/2010(H5N1))]
AEN79411,Influenza A virus (A/chicken/Nepal/2-53/2010(H5N1)),GenBank,set:72e500ce755f66757dc7f106531cb36e05dfb57d,JN613390,,"Damodar,S., Shell,W., Manvell,R., Focosi-Shyman,R., Alton,B., Barrass,L., Russell,C., Reid,S.",9/6/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Nepal,Nepal,,Gallus gallus,,2010-02,,,"hemagglutinin, partial [Influenza A virus (A/chicken/Nepal/2-53/2010(H5N1))]"
AEN68619,Influenza A virus (A/turkey/Israel/362/2011(H5N1)),GenBank,set:bd39792193ab1b41db29aeeaab994c50e3cd6fff,JN582041,,"Shkoda,I., Lapin,K., Davidson,I., Perk,S., Panshin,A.",9/4/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,,hemagglutinin,Israel,Israel,,Meleagris gallopavo,lung,3/6/2011,,,hemagglutinin [Influenza A virus (A/turkey/Israel/362/2011(H5N1))]
AEN68620,Influenza A virus (A/turkey/Israel/362/2011(H5N1)),GenBank,set:0a93a7d2536ad4916ec2ea0d6c26560f66903cae,JN582042,,"Shkoda,I., Lapin,K., Perk,S., Panshin,A.",9/4/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,Israel,Israel,,Meleagris gallopavo,lung,3/6/2011,,,neuraminidase [Influenza A virus (A/turkey/Israel/362/2011(H5N1))]
AEN68621,Influenza A virus (A/turkey/Jenin/341/2011(H5N1)),GenBank,set:b9d5c3a0c84c599072fe93296b1746a576eebfea,JN582043,,"Shkoda,I., Lapin,K., Davidson,I., Perk,S., Panshin,A.",9/4/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,Israel,Israel,,Meleagris gallopavo,lung,3/2/2011,,,hemagglutinin [Influenza A virus (A/turkey/Jenin/341/2011(H5N1))]
AEN68622,Influenza A virus (A/turkey/Jenin/341/2011(H5N1)),GenBank,set:d50408c34f5cd79f62e6d76741c4619e7f808fe5,JN582044,,"Shkoda,I., Lapin,K., Davidson,I., Panshin,A.",9/4/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,Israel,Israel,,Meleagris gallopavo,lung,3/2/2011,,,neuraminidase [Influenza A virus (A/turkey/Jenin/341/2011(H5N1))]
AEN02519,Influenza A virus (A/environment/Chang Sha/1/2009(H5N1)),GenBank,set:9843c038fcd36b777b9cb945c9fcc77abac944e3,JN543373,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,China,China,,,,7/3/2009,,,hemagglutinin [Influenza A virus (A/environment/Chang Sha/1/2009(H5N1))]
AEN02520,Influenza A virus (A/environment/Chang Sha/2/2009(H5N1)),GenBank,set:3920fc6b92e23595ffc89061a18b85126a1b6e81,JN543374,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,China,China,,,,7/3/2009,,,hemagglutinin [Influenza A virus (A/environment/Chang Sha/2/2009(H5N1))]
AEN02521,Influenza A virus (A/environment/Chang Sha/3/2009(H5N1)),GenBank,set:8156243bde8b7e97c43b31d1a0f735eb9ab637c9,JN543375,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,China,China,,,,7/3/2009,,,hemagglutinin [Influenza A virus (A/environment/Chang Sha/3/2009(H5N1))]
AEN02522,Influenza A virus (A/environment/Chang Sha/25/2009(H5N1)),GenBank,set:e610af062b74fe222459469a68c2dc72ce25d183,JN543378,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,,hemagglutinin,China,China,,,,12/22/2009,,,hemagglutinin [Influenza A virus (A/environment/Chang Sha/25/2009(H5N1))]
AEN02523,Influenza A virus (A/environment/Chang Sha/4/2009(H5N1)),GenBank,set:b2285b35af97e0ce924e800bac0fc0e061f70bbd,JN558596,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,8/19/2009,,,nonstructural protein 1 [Influenza A virus (A/environment/Chang Sha/4/2009(H5N1))]
AEN02524,Influenza A virus (A/environment/Chang Sha/4/2009(H5N1)),GenBank,set:b2285b35af97e0ce924e800bac0fc0e061f70bbd,JN558596,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China,China,,,,8/19/2009,,,nuclear export protein [Influenza A virus (A/environment/Chang Sha/4/2009(H5N1))]
AEN02525,Influenza A virus (A/environment/Chang Sha/5/2009(H5N1)),GenBank,set:87cb63a55b6e6079fca38a31a6b978f66a20ea20,JN558597,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,8/19/2009,,,nonstructural protein 1 [Influenza A virus (A/environment/Chang Sha/5/2009(H5N1))]
AEN02526,Influenza A virus (A/environment/Chang Sha/5/2009(H5N1)),GenBank,set:87cb63a55b6e6079fca38a31a6b978f66a20ea20,JN558597,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China,China,,,,8/19/2009,,,nuclear export protein [Influenza A virus (A/environment/Chang Sha/5/2009(H5N1))]
AEN02527,Influenza A virus (A/environment/Chang Sha/7/2009(H5N1)),GenBank,set:ced2e57df2db1502d17eb509ee9df2c29f6471d7,JN558598,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,9/23/2009,,,nonstructural protein 1 [Influenza A virus (A/environment/Chang Sha/7/2009(H5N1))]
AEN02528,Influenza A virus (A/environment/Chang Sha/7/2009(H5N1)),GenBank,set:ced2e57df2db1502d17eb509ee9df2c29f6471d7,JN558598,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China,China,,,,9/23/2009,,,nuclear export protein [Influenza A virus (A/environment/Chang Sha/7/2009(H5N1))]
AEN02529,Influenza A virus (A/environment/Chang Sha/10/2009(H5N1)),GenBank,set:2ebbfbfbab393ebf83af963624331c1df32b2a62,JN558599,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,10/29/2009,,,nonstructural protein 1 [Influenza A virus (A/environment/Chang Sha/10/2009(H5N1))]
AEN02530,Influenza A virus (A/environment/Chang Sha/10/2009(H5N1)),GenBank,set:2ebbfbfbab393ebf83af963624331c1df32b2a62,JN558599,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China,China,,,,10/29/2009,,,nuclear export protein [Influenza A virus (A/environment/Chang Sha/10/2009(H5N1))]
AEN02531,Influenza A virus (A/environment/Chang Sha/14/2009(H5N1)),GenBank,set:49d60318448ea2f133b53c4059501081088da217,JN558600,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,11/24/2009,,,nonstructural protein 1 [Influenza A virus (A/environment/Chang Sha/14/2009(H5N1))]
AEN02532,Influenza A virus (A/environment/Chang Sha/14/2009(H5N1)),GenBank,set:49d60318448ea2f133b53c4059501081088da217,JN558600,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China,China,,,,11/24/2009,,,nuclear export protein [Influenza A virus (A/environment/Chang Sha/14/2009(H5N1))]
AEN02533,Influenza A virus (A/environment/Chang Sha/16/2009(H5N1)),GenBank,set:21110e4c41f17a4970e67d7d11494cc40678b252,JN558601,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,12/16/2009,,,nonstructural protein 1 [Influenza A virus (A/environment/Chang Sha/16/2009(H5N1))]
AEN02534,Influenza A virus (A/environment/Chang Sha/16/2009(H5N1)),GenBank,set:21110e4c41f17a4970e67d7d11494cc40678b252,JN558601,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China,China,,,,12/16/2009,,,nuclear export protein [Influenza A virus (A/environment/Chang Sha/16/2009(H5N1))]
AEN02535,Influenza A virus (A/environment/Chang Sha/20/2009(H5N1)),GenBank,set:5757eaba9480863884e89a143b4606e21f31d11e,JN558602,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,12/22/2009,,,nonstructural protein 1 [Influenza A virus (A/environment/Chang Sha/20/2009(H5N1))]
AEN02536,Influenza A virus (A/environment/Chang Sha/20/2009(H5N1)),GenBank,set:5757eaba9480863884e89a143b4606e21f31d11e,JN558602,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China,China,,,,12/22/2009,,,nuclear export protein [Influenza A virus (A/environment/Chang Sha/20/2009(H5N1))]
AEN02537,Influenza A virus (A/environment/Chang Sha/25/2009(H5N1)),GenBank,set:e610af062b74fe222459469a68c2dc72ce25d183,JN558603,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,,nonstructural protein 1,China,China,,,,12/22/2009,,,nonstructural protein 1 [Influenza A virus (A/environment/Chang Sha/25/2009(H5N1))]
AEN02538,Influenza A virus (A/environment/Chang Sha/25/2009(H5N1)),GenBank,set:e610af062b74fe222459469a68c2dc72ce25d183,JN558603,,"Zhang,R.S., Ou,X.H., Ye,W.",8/30/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,,nuclear export protein,China,China,,,,12/22/2009,,,nuclear export protein [Influenza A virus (A/environment/Chang Sha/25/2009(H5N1))]
AEL31632,Influenza A virus (A/reassortant/IDCDC_RG29(Egypt/N03072/2010 x Puerto Rico/8/1934)(H5N1)),GenBank,set:323a8856da659a6c5fbeedb7043d5ed9c2d17300,JN401974,,"Chen,L.-M., Davis,C.T., Hossain,J., Tzeng,W.-P.",8/9/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),563,H5N1,4,,hemagglutinin,,,,,,,,,hemagglutinin [Influenza A virus (A/reassortant/IDCDC_RG29(Egypt/N03072/2010 x Puerto Rico/8/1934)(H5N1))]
ADC97011,Influenza A virus (A/duck/Shandong/009/2008(H5N1)),GenBank,GCA_038500835.1,GU596981,,"Gu,M., Liu,W.B., Cao,J.P., Cao,Y.Z., Zhang,X.R., Peng,D.X., Liu,X.F., Liu,W., Cao,J., Cao,Y., Zhang,X., Liu,X.",8/8/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,1,polymerase PB2,China,China,,Anatidae,,12/15/2008,,,polymerase PB2 [Influenza A virus (A/duck/Shandong/009/2008(H5N1))]
AEA92627,Influenza A virus (A/chicken/Egypt/083-NLQP/2008(H5N1)),GenBank,set:ce55157557d2b037819e434bb99da292d1a2f039,JF746737,,"Abdelwhab,E.M., Arafa,A.S., Stech,J., Grund,C., Stech,O., Graeber-Gerberding,M., Beer,M., Hassan,M.K., Aly,M.M., Harder,T.C., Hafez,H.M., Arafa,A., Graeber,M.",4/10/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,1,hemagglutinin,Egypt,Egypt,,Gallus gallus,,2008-01,,,hemagglutinin [Influenza A virus (A/chicken/Egypt/083-NLQP/2008(H5N1))]
AEA92628,Influenza A virus (A/duck/Egypt/0897-NLQP/2008(H5N1)),GenBank,set:cf4cf834128a7f9755b0744c93163eb394c0cecd,JF746738,,"Abdelwhab,E.M., Arafa,A.S., Stech,J., Grund,C., Stech,O., Graeber-Gerberding,M., Beer,M., Hassan,M.K., Aly,M.M., Harder,T.C., Hafez,H.M., Arafa,A., Graeber,M.",4/10/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,1,hemagglutinin,Egypt,Egypt,,Anatidae,,2008-12,,,hemagglutinin [Influenza A virus (A/duck/Egypt/0897-NLQP/2008(H5N1))]
AEA92629,Influenza A virus (A/chicken/Egypt/0827-NLQP/2008(H5N1)),GenBank,set:f095bad785c43b06821193b1f621546b53d8296e,JF746739,,"Abdelwhab,E.M., Arafa,A.S., Stech,J., Grund,C., Stech,O., Graeber-Gerberding,M., Beer,M., Hassan,M.K., Aly,M.M., Harder,T.C., Hafez,H.M., Arafa,A., Graeber,M.",4/10/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,1,hemagglutinin,Egypt,Egypt,,Gallus gallus,,2008-01,,,hemagglutinin [Influenza A virus (A/chicken/Egypt/0827-NLQP/2008(H5N1))]
AEA92630,Influenza A virus (A/chicken/Egypt/G3H4-NLQP/2008(H5N1)),GenBank,set:8a018c787f3ac9c7783de5f74278f1d683663206,JF746740,,"Abdelwhab,E.M., Arafa,A.S., Stech,J., Grund,C., Stech,O., Graeber-Gerberding,M., Beer,M., Hassan,M.K., Aly,M.M., Harder,T.C., Hafez,H.M., Arafa,A., Graeber,M.",4/10/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,1,hemagglutinin,Egypt,Egypt,,Gallus gallus,,2008-03,,,hemagglutinin [Influenza A virus (A/chicken/Egypt/G3H4-NLQP/2008(H5N1))]
AEA92631,Influenza A virus (A/chicken/Egypt/0918-NLQP/2009(H5N1)),GenBank,set:40a6dc4c9b7e6ae512facf7caf53b1368b3a012b,JF746741,,"Abdelwhab,E.M., Arafa,A.S., Stech,J., Grund,C., Stech,O., Graeber-Gerberding,M., Beer,M., Hassan,M.K., Aly,M.M., Harder,T.C., Hafez,H.M., Arafa,A., Graeber,M.",4/10/2011,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,1,hemagglutinin,Egypt,Egypt,,Gallus gallus,,2009-02,,,hemagglutinin [Influenza A virus (A/chicken/Egypt/0918-NLQP/2009(H5N1))]
ADC97078,Influenza A virus (A/duck/Fujian/01/2002(H5N1)),GenBank,set:29222f9b6625dc4969f4262e79b68c26f1333c94,GU721160,,"Leung,B.W., Chen,H., Brownlee,G.G., Brownlee,G.",2/28/2010,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,1,polymerase PB2,China,China,,Anatidae,,2002,,,polymerase PB2 [Influenza A virus (A/duck/Fujian/01/2002(H5N1))]
ADC97079,Influenza A virus (A/duck/Fujian/01/2002(H5N1)),GenBank,set:29222f9b6625dc4969f4262e79b68c26f1333c94,GU721161,,"Leung,B.W., Chen,H., Brownlee,G.G., Brownlee,G.",2/28/2010,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,1,polymerase PB1,China,China,,Anatidae,,2002,,,polymerase PB1 [Influenza A virus (A/duck/Fujian/01/2002(H5N1))]
ADC97080,Influenza A virus (A/duck/Fujian/01/2002(H5N1)),GenBank,set:29222f9b6625dc4969f4262e79b68c26f1333c94,GU721161,,"Leung,B.W., Chen,H., Brownlee,G.G., Brownlee,G.",2/28/2010,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),90,H5N1,2,1,PB1-F2 protein,China,China,,Anatidae,,2002,,,PB1-F2 protein [Influenza A virus (A/duck/Fujian/01/2002(H5N1))]
ADC97081,Influenza A virus (A/duck/Fujian/01/2002(H5N1)),GenBank,set:29222f9b6625dc4969f4262e79b68c26f1333c94,GU721162,,"Leung,B.W., Chen,H., Brownlee,G.G., Brownlee,G.",2/28/2010,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,1,polymerase PA,China,China,,Anatidae,,2002,,,polymerase PA [Influenza A virus (A/duck/Fujian/01/2002(H5N1))]
ADC97082,Influenza A virus (A/duck/Guangxi/53/2002(H5N1)),GenBank,set:f8cd4c55a2270d1a39b174b879e9ce513f608810,GU721163,,"Leung,B.W., Chen,H., Brownlee,G.G., Brownlee,G.",2/28/2010,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,1,polymerase PB2,China,China,,Anatidae,,2002,,,polymerase PB2 [Influenza A virus (A/duck/Guangxi/53/2002(H5N1))]
ADC97083,Influenza A virus (A/duck/Guangxi/53/2002(H5N1)),GenBank,set:f8cd4c55a2270d1a39b174b879e9ce513f608810,GU721164,,"Leung,B.W., Chen,H., Brownlee,G.G., Brownlee,G.",2/28/2010,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,1,polymerase PA,China,China,,Anatidae,,2002,,,polymerase PA [Influenza A virus (A/duck/Guangxi/53/2002(H5N1))]
ADB93867,Influenza A virus (A/common pochard/Switzerland/WV4080110/2008(H5N1)),GenBank,set:d15357eb8dd7b92653323bd16c0e1359ce0d276e,GU563331,,"Baumer,A., Feldmann,J., Renzullo,S., Mueller,M., Thuer,B., Hofmann,M.A.",2/1/2010,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,,neuraminidase,Switzerland,Switzerland,,Aythya ferina,,2/19/2008,,,neuraminidase [Influenza A virus (A/common pochard/Switzerland/WV4080110/2008(H5N1))]
ACJ24940,Influenza A virus (A/goose/Hungary/14756/2006(H5N1)),GenBank,GCA_038273875.1,FJ445242,,"Szeleczky,Z., Dan,A., Ursu,K., Ivanics,E., Kiss,I., Erdelyi,K., Belak,S., Muller,C.P., Brown,I.H., Balint,A.",6/30/2009,14756,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,1,hemagglutinin,Hungary,Hungary,,Anatidae,,6/6/2006,,,hemagglutinin [Influenza A virus (A/goose/Hungary/14756/2006(H5N1))]
